2018-11-19 17:02:55.741---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/dept/delete]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.DeptController.delete(java.lang.Integer)
2018-11-19 17:02:55.741---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/dept/list]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.DeptController.list(java.lang.String)
2018-11-19 17:02:55.741---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/dept/tree]}" onto public java.util.List<com.stylefeng.guns.common.node.ZTreeNode> com.stylefeng.guns.modular.system.controller.DeptController.tree()
2018-11-19 17:02:55.741---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/dept/detail/{deptId}]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.DeptController.detail(java.lang.Integer)
2018-11-19 17:02:55.741---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/dept/dept_update/{deptId}]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.DeptController.deptUpdate(java.lang.Integer,org.springframework.ui.Model)
2018-11-19 17:02:55.742---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/dept/dept_add]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.DeptController.deptAdd()
2018-11-19 17:02:55.747---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/dict]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.DictController.index()
2018-11-19 17:02:55.748---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/dict/add]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.DictController.add(java.lang.String,java.lang.String)
2018-11-19 17:02:55.748---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/dict/update]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.DictController.update(java.lang.Integer,java.lang.String,java.lang.String)
2018-11-19 17:02:55.748---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/dict/delete]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.DictController.delete(java.lang.Integer)
2018-11-19 17:02:55.748---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/dict/list]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.DictController.list(java.lang.String)
2018-11-19 17:02:55.748---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/dict/detail/{dictId}]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.DictController.detail(java.lang.Integer)
2018-11-19 17:02:55.748---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/dict/dict_edit/{dictId}]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.DictController.deptUpdate(java.lang.Integer,org.springframework.ui.Model)
2018-11-19 17:02:55.749---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/dict/dict_add]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.DictController.deptAdd()
2018-11-19 17:02:55.749---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/kaptcha]}" onto public void com.stylefeng.guns.modular.system.controller.KaptchaController.index(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-11-19 17:02:55.749---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/kaptcha/{pictureId}]}" onto public void com.stylefeng.guns.modular.system.controller.KaptchaController.renderPicture(java.lang.String,javax.servlet.http.HttpServletResponse)
2018-11-19 17:02:55.750---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/log]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.LogController.index()
2018-11-19 17:02:55.750---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/log/list]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.LogController.list(java.lang.String,java.lang.String,java.lang.String,java.lang.Integer)
2018-11-19 17:02:55.750---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/log/detail/{id}]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.LogController.detail(java.lang.Integer)
